"idx","x1","z1","x2","z2","c1","c2","A1","B1","C1","xmn","xmx","zmn","zmx"
165,2.17,-4.82,1.94,-4.82,"dw","ww",0,0.23,-1.1086,1.939,2.171,-4.821,-4.819
166,1.94,-4.82,1.94,-7.04,"ww","ww",-2.22,0,-4.3068,1.939,1.941,-7.041,-4.819
167,1.94,-7.04,3.44,-7.04,"ww","ww",0,-1.5,10.56,1.939,3.441,-7.041,-7.039
168,-0.84,-8.7,-0.84,-4.94,"ww","ww",3.76,0,-3.1584,-0.841,-0.839,-8.701,-4.939
169,-0.84,-4.94,-1.24,-4.94,"ww","wd",0,0.4,-1.976,-1.241,-0.839,-4.941,-4.939
170,-2.14,-4.94,-2.84,-4.94,"hw","ww",0,0.7,-3.458,-2.841,-2.139,-4.941,-4.939
171,-2.84,-4.94,-2.84,-8.7,"ww","ww",-3.76,0,10.6784,-2.841,-2.839,-8.701,-4.939
172,-2.84,-8.7,-0.84,-8.7,"ww","ww",0,-2,17.4,-2.841,-0.839,-8.701,-8.699
173,3.44,-7.04,-0.84,-7.04,"ww","wi",0,4.28,-30.1312,-0.841,3.441,-7.041,-7.039
174,-0.84,-8.7,3.44,-8.7,"iw","ww",0,-4.28,37.236,-0.841,3.441,-8.701,-8.699
175,3.44,-8.7,3.44,-7.04,"ww","ww",1.66,0,5.7104,3.439,3.441,-8.701,-7.039
176,7.84,-0.02,7.84,-1.84,"ww","wi",-1.82,0,-14.2688,7.839,7.841,-1.841,-0.019
177,12.22,-1.84,12.22,4.58,"iw","ww",6.42,0,78.4524,12.219,12.221,-1.841,4.581
178,12.22,4.58,7.84,4.58,"ww","ww",0,4.38,20.0604,7.839,12.221,4.579,4.581
179,7.84,4.58,7.84,4.04,"ww","wi",-0.54,0,-4.2336,7.839,7.841,4.039,4.581
180,7.84,2.18,7.84,1.98,"iw","wi",-0.2,0,-1.568,7.839,7.841,1.979,2.181
181,7.84,1.38,7.84,-0.02,"iw","ww",-1.4,0,-10.976,7.839,7.841,-0.021,1.381
182,7.08,-4.86,9.64,-4.86,"ww","wh",0,-2.56,12.4416,7.079,9.641,-4.861,-4.859
183,10.86,-4.86,12.22,-4.86,"dw","ww",0,-1.36,6.60960000000001,10.859,12.221,-4.861,-4.859
184,12.22,-4.86,12.22,-1.9,"ww","wi",2.96,0,36.1712,12.219,12.221,-4.861,-1.899
185,7.8,-1.9,7.08,-1.9,"iw","ww",0,0.72,-1.368,7.079,7.801,-1.901,-1.899
186,7.08,-1.9,7.08,-4.86,"ww","ww",-2.96,0,-20.9568,7.079,7.081,-4.861,-1.899
187,7.1,4.58,12.24,4.58,"ww","ww",0,-5.14,-23.5412,7.099,12.241,4.579,4.581
188,12.24,4.58,12.24,7.38,"ww","ww",2.8,0,34.272,12.239,12.241,4.579,7.381
189,12.24,7.38,8.24,7.38,"ww","wd",0,4,29.52,8.239,12.241,7.379,7.381
190,7.2,7.38,7.1,7.38,"hw","ww",0,0.100000000000001,0.738000000000004,7.099,7.201,7.379,7.381
191,7.1,7.38,7.1,4.58,"ww","ww",-2.8,0,-19.88,7.099,7.101,4.579,7.381
192,12.28,7.38,12.28,10,"ww","ww",2.62,0,32.1736,12.279,12.281,7.379,10.001
193,12.28,10,9.7,10,"ww","ww",0,2.58,25.8,9.699,12.281,9.999,10.001
194,9.7,10,9.7,8.32,"ww","wd",-1.68,0,-16.296,9.699,9.701,8.319,10.001
195,9.7,7.46,9.7,7.38,"hw","ww",-0.0800000000000001,0,-0.776000000000001,9.699,9.701,7.379,7.461
196,9.7,7.38,12.28,7.38,"ww","ww",0,-2.58,-19.0404,9.699,12.281,7.379,7.381
197,9.7,10,12.28,10,"ww","ww",0,-2.58,-25.8,9.699,12.281,9.999,10.001
198,12.28,10,12.28,12.7,"ww","ww",2.7,0,33.156,12.279,12.281,9.999,12.701
199,12.28,12.7,9.7,12.7,"ww","ww",0,2.58,32.766,9.699,12.281,12.699,12.701
200,9.7,12.7,9.7,12.36,"ww","wh",-0.34,0,-3.298,9.699,9.701,12.359,12.701
201,9.7,11.56,9.7,10,"dw","ww",-1.56,0,-15.132,9.699,9.701,9.999,11.561
202,7.1,12.7,12.3,12.7,"ww","ww",0,-5.2,-66.04,7.099,12.301,12.699,12.701
203,12.3,12.7,12.3,15.02,"ww","ww",2.32,0,28.536,12.299,12.301,12.699,15.021
204,12.3,15.02,7.1,15.02,"ww","ww",0,5.2,78.104,7.099,12.301,15.019,15.021
205,7.1,15.02,7.1,14.86,"ww","wh",-0.16,0,-1.136,7.099,7.101,14.859,15.021
206,7.1,13.88,7.1,12.7,"dw","ww",-1.18,0,-8.37800000000001,7.099,7.101,12.699,13.881
207,7.1,15.02,9.7,15.02,"ww","ww",0,-2.6,-39.052,7.099,9.701,15.019,15.021
208,9.7,15.02,9.7,17.8,"ww","ww",2.78,0,26.966,9.699,9.701,15.019,17.801
209,9.7,17.8,8.08,17.8,"ww","wd",0,1.62,28.836,8.079,9.701,17.799,17.801
210,7.22,17.8,7.1,17.8,"hw","ww",0,0.12,2.136,7.099,7.221,17.799,17.801
211,7.1,17.8,7.1,15.02,"ww","ww",-2.78,0,-19.738,7.099,7.101,15.019,17.801
212,9.7,15.02,12.3,15.02,"ww","ww",0,-2.6,-39.052,9.699,12.301,15.019,15.021
213,12.3,15.02,12.3,17.8,"ww","ww",2.78,0,34.194,12.299,12.301,15.019,17.801
214,12.3,17.8,12.24,17.8,"ww","wh",0,0.0600000000000005,1.06800000000001,12.239,12.301,17.799,17.801
215,11.42,17.8,9.7,17.8,"dw","ww",0,1.72,30.616,9.699,11.421,17.799,17.801
216,9.7,17.8,9.7,15.02,"ww","ww",-2.78,0,-26.966,9.699,9.701,15.019,17.801
217,12.3,12.7,14.94,12.7,"ww","ww",0,-2.64,-33.528,12.299,14.941,12.699,12.701
218,14.94,12.7,14.94,16.5,"ww","ww",3.8,0,56.772,14.939,14.941,12.699,16.501
219,14.94,16.5,13.42,16.5,"ww","wd",0,1.52,25.08,13.419,14.941,16.499,16.501
220,12.56,16.5,12.3,16.5,"hw","ww",0,0.26,4.29,12.299,12.561,16.499,16.501
221,12.3,16.5,12.3,12.7,"ww","ww",-3.8,0,-46.74,12.299,12.301,12.699,16.501
222,14.94,12.7,17.76,12.7,"ww","ww",0,-2.82,-35.814,14.939,17.761,12.699,12.701
223,17.76,12.7,17.76,16.5,"ww","ww",3.8,0,67.488,17.759,17.761,12.699,16.501
224,17.76,16.5,17.5,16.5,"ww","wd",0,0.260000000000002,4.29000000000003,17.499,17.761,16.499,16.501
