"lid","tid","aid","sid","idx","x1","z1","x2","z2","c1","c2","A1","B1","C1","xmn","xmx","zmn","zmx","det","xi","zi"
2121,1,3,37,1,-38.28,24.5,-19.8,-9.82,"ww","ww",-34.32,-18.48,861.0096,-38.281,-19.799,-9.821,24.501,-8.80710028222876,-29.0572185374422,7.37197728382123
2121,1,3,37,330,-38.28,24.5,-19.79,-9.75,"iw","wi",-34.25,-18.49,858.085,-38.281,-19.789,-9.751,24.501,-8.74702244448393,-28.9888480474522,7.28951030963963
2121,1,4,8,38,-19.22,3.96,-22.76,2.1,"ww","ww",-1.86,3.54,49.7676,-22.761,-19.219,2.099,3.961,3.62113053281102,-22.1750556308915,2.4073436515655
2121,1,4,8,40,-22.76,2.1,-19.21,3.97,"ww","ww",1.87,-3.55,-50.0162,-22.761,-19.209,2.099,3.971,-3.63144580489833,-22.1750694980235,2.40811832075943
2121,1,4,9,39,-22.76,2.1,-20.54,-2,"ww","ww",-4.1,-2.22,88.654,-22.761,-20.539,-2.001,2.101,-1.97376424942823,-22.1232595905551,0.924037982556707
2121,1,4,9,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,11.6408798814937,-22.1284135561717,0.998311537698375
2121,1,4,34,1,-38.28,24.5,-19.8,-9.82,"ww","ww",-34.32,-18.48,861.0096,-38.281,-19.799,-9.821,24.501,-43.6552741166034,-25.0385588287473,-0.0912478894693056
2121,1,4,34,330,-38.28,24.5,-19.79,-9.75,"iw","wi",-34.25,-18.49,858.085,-38.281,-19.789,-9.751,24.501,-43.5682641779891,-25.0049348283016,-0.0901017918156862
2121,1,5,8,38,-19.22,3.96,-22.76,2.1,"ww","ww",-1.86,3.54,49.7676,-22.761,-19.219,2.099,3.961,3.38732275792343,-20.8527016858799,3.10213979216479
2121,1,5,8,40,-22.76,2.1,-19.21,3.97,"ww","ww",1.87,-3.55,-50.0162,-22.761,-19.209,2.099,3.971,-3.40109948158258,-20.8550614935061,3.10344648088552
2121,1,5,35,39,-22.76,2.1,-20.54,-2,"ww","ww",-4.1,-2.22,88.654,-22.761,-20.539,-2.001,2.101,-5.15472419299719,-20.9561719402651,-1.23139416437533
2121,1,5,35,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,30.4776173753764,-20.9391014640568,-1.20600125593146
2122,1,0,8,41,-19.21,3.97,-20.76,6.81,"ww","wd",2.84,1.55,-48.4029,-20.761,-19.209,3.969,6.811,-3.2764033167662,-19.977360897796,5.37600319338114
2122,1,0,13,9,-21.73,12.5,-16.1,2.1,"ww","ww",-10.4,-5.63,155.617,-21.731,-16.099,2.099,12.501,0.165020621534434,-18.3971683776871,6.34343714528345
2122,1,0,18,9,-21.73,12.5,-16.1,2.1,"ww","ww",-10.4,-5.63,155.617,-21.731,-16.099,2.099,12.501,-0.782401479963309,-18.4401227454246,6.42278446756951
2122,1,0,20,9,-21.73,12.5,-16.1,2.1,"ww","ww",-10.4,-5.63,155.617,-21.731,-16.099,2.099,12.501,1.60336896896567,-18.3990750498171,6.34695923944903
2122,1,0,32,9,-21.73,12.5,-16.1,2.1,"ww","ww",-10.4,-5.63,155.617,-21.731,-16.099,2.099,12.501,-0.377873651278205,-18.0663553997623,5.73234390009367
2122,1,0,33,9,-21.73,12.5,-16.1,2.1,"ww","ww",-10.4,-5.63,155.617,-21.731,-16.099,2.099,12.501,1.2327793468696,-17.9791333083406,5.57122316283164
2122,1,0,36,10,-16.1,2.1,-8.1,2.1,"ww","ww",0,-8,-16.8,-16.101,-8.099,2.099,2.101,-8.66639442393799,-15.9517084092506,2.1
2122,1,0,38,31,-9.46,0.32,-16.06,0.32,"dw","ww",0,6.6,2.112,-16.061,-9.459,0.319,0.321,1.56281105517402,-13.9999746139618,0.32
2122,1,1,11,43,-21.4,7.96,-24.92,6.1,"ww","ww",-1.86,3.52,67.8232,-24.921,-21.399,6.099,7.961,-0.60264537875106,-21.7525360531848,7.77371674462394
2122,1,1,11,49,-24.93,6.11,-21.38,7.96,"ww","ww",1.85,-3.55,-67.811,-24.931,-21.379,6.109,7.961,0.605887249915819,-21.7491635747624,7.76761898216606
2122,1,1,32,42,-21.27,7.7,-21.4,7.96,"hw","ww",0.26,0.129999999999999,-4.5292,-21.401,-21.269,7.699,7.961,-0.18507128233851,-21.3777646651368,7.91552933027359
2122,1,1,32,43,-21.4,7.96,-24.92,6.1,"ww","ww",-1.86,3.52,67.8232,-24.921,-21.399,6.099,7.961,1.55628852400679,-21.4715965185145,7.9221677487395
2122,1,1,32,49,-24.93,6.11,-21.38,7.96,"ww","ww",1.85,-3.55,-67.811,-24.931,-21.379,6.109,7.961,-1.55047554968807,-21.4548680720165,7.9209842441604
2122,1,1,34,9,-21.73,12.5,-16.1,2.1,"ww","ww",-10.4,-5.63,155.617,-21.731,-16.099,2.099,12.501,13.2301482188923,-19.2813817651286,7.97679757679164
2122,1,2,10,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,2.22849206740658,-24.6726624491362,5.71391177595622
2122,1,2,11,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,-0.59948009230201,-24.7166998093141,5.72351816539653
2122,1,2,32,43,-21.4,7.96,-24.92,6.1,"ww","ww",-1.86,3.52,67.8232,-24.921,-21.399,6.099,7.961,-1.38723086947697,-24.4894667646167,6.32749767551505
2122,1,2,32,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,2.98065193165685,-24.7970424358332,5.87230080709849
2122,1,2,32,49,-24.93,6.11,-21.38,7.96,"ww","ww",1.85,-3.55,-67.811,-24.931,-21.379,6.109,7.961,1.40976108582263,-24.4768721888163,6.34613702836332
2122,1,2,32,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,-18.0856921776373,-24.7754004162623,5.90432993182055
2122,1,2,36,45,-21.38,7.96,-24.28,13.37,"ww","wd",5.41,2.9,-92.5818,-24.281,-21.379,7.959,13.371,-6.52919988886364,-22.43088512613,9.92044432150457
2122,1,3,8,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,-4.60258577530547,-23.1755240383108,2.8694889598348
2122,1,3,8,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,27.9318447376559,-23.1471832299495,2.88653502466982
2122,1,3,39,1,-38.28,24.5,-19.8,-9.82,"ww","ww",-34.32,-18.48,861.0096,-38.281,-19.799,-9.821,24.501,-44.9505379142121,-29.4560644470852,8.11269111601542
2122,1,3,39,330,-38.28,24.5,-19.79,-9.75,"iw","wi",-34.25,-18.49,858.085,-38.281,-19.789,-9.751,24.501,-44.8605302521724,-29.4335757651727,8.11330286409767
2122,1,4,7,38,-19.22,3.96,-22.76,2.1,"ww","ww",-1.86,3.54,49.7676,-22.761,-19.219,2.099,3.961,2.97788473224459,-21.1757110332549,2.93242301642539
2122,1,4,7,40,-22.76,2.1,-19.21,3.97,"ww","ww",1.87,-3.55,-50.0162,-22.761,-19.209,2.099,3.971,-2.98653448109345,-21.1758370985956,2.93447454242992
2122,1,4,32,39,-22.76,2.1,-20.54,-2,"ww","ww",-4.1,-2.22,88.654,-22.761,-20.539,-2.001,2.101,-2.90955672686297,-21.8998694074512,0.51147052727465
2122,1,4,32,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,17.2326926859967,-21.8643896755326,0.508960406254393
2122,1,4,35,1,-38.28,24.5,-19.8,-9.82,"ww","ww",-34.32,-18.48,861.0096,-38.281,-19.799,-9.821,24.501,-41.1643462622096,-25.3393712590427,0.467403766793629
2122,1,4,35,330,-38.28,24.5,-19.79,-9.75,"iw","wi",-34.25,-18.49,858.085,-38.281,-19.789,-9.751,24.501,-41.076325985074,-25.3046239630452,0.465028163023142
2122,1,5,8,38,-19.22,3.96,-22.76,2.1,"ww","ww",-1.86,3.54,49.7676,-22.761,-19.219,2.099,3.961,3.38732275792343,-19.8762607058516,3.61518505285765
2122,1,5,8,40,-22.76,2.1,-19.21,3.97,"ww","ww",1.87,-3.55,-50.0162,-22.761,-19.209,2.099,3.971,-3.40109948158258,-19.8798286165071,3.61716070060048
